millis,time,data,min,max
811205,9.631,1304,,
811216,9.642,1294,,
811224,9.65,1287,,
811235,9.661,1287,,
811246,9.672,1293,,
811254,9.68,1293,,
811265,9.691,1294,,
811276,9.702,1295,,
811284,9.71,1299,,
811295,9.721,1298,,
811306,9.732,1285,,
811314,9.74,1289,,
811325,9.751,1292,,
811336,9.762,1284,,
811344,9.77,1279,,
811355,9.781,1272,,
811366,9.792,1276,,
811374,9.8,1277,,
811385,9.811,1269,,
811396,9.822,1261,,
811404,9.83,1262,,
811415,9.841,1264,,
811426,9.852,1260,,
811434,9.86,1256,,
811445,9.871,1254,,
811456,9.882,1257,,
811464,9.89,1255,,
811475,9.901,1252,,
811486,9.912,1258,,
811494,9.92,1258,,
811505,9.931,1253,,
811516,9.942,1252,,
811524,9.95,1246,,
811535,9.961,1249,,
811546,9.972,1256,,
811554,9.98,1254,,
811565,9.991,1253,,
811576,10.002,1253,,
811584,10.01,1258,,
811595,10.021,1260,,
811606,10.032,1263,,
811614,10.04,1258,,
811625,10.051,1256,,
811636,10.062,1262,,
811644,10.07,1265,,
811655,10.081,1267,,
811666,10.092,1267,,
811674,10.1,1268,,
811685,10.111,1269,,
811696,10.122,1272,,
811704,10.13,1269,,
811715,10.141,1270,,
811726,10.152,1274,,
811734,10.16,1273,,
811745,10.171,1276,,
811756,10.182,1283,,
811764,10.19,1288,,
811775,10.201,1287,,
811786,10.212,1280,,
811794,10.22,1284,,
811805,10.231,1293,,
811816,10.242,1293,,
811826,10.252,1306,,
811834,10.26,1302,,
811845,10.271,1300,,
811856,10.282,1301,,
811864,10.29,1307,,
811875,10.301,1309,,
811886,10.312,1310,,
811894,10.32,1313,,
811905,10.331,1310,,
811916,10.342,1306,,
811924,10.35,1310,,
811935,10.361,1321,,
811945,10.371,1324,,
811956,10.382,1330,,
811964,10.39,1327,,
811975,10.401,1326,,
811986,10.412,1335,,
811994,10.42,1337,,
812005,10.431,1340,,
812016,10.442,1345,,
812024,10.45,1347,,
812035,10.461,1346,,
812046,10.472,1341,,
812054,10.48,1343,,
812065,10.491,1353,,
812076,10.502,1354,,
812084,10.51,1360,,
812095,10.521,1362,,
812106,10.532,1362,,
812116,10.542,1362,,
812124,10.55,1362,,
812135,10.561,1364,,
812146,10.572,1368,,
812156,10.582,1373,,
812164,10.59,1367,,
812175,10.601,1368,,
812186,10.612,1374,,
812194,10.62,1379,,
812205,10.631,1380,,
812216,10.642,1381,,
812224,10.65,1388,,
812235,10.661,1388,,
812246,10.672,1383,,
812254,10.68,1383,,
812265,10.691,1385,,
812276,10.702,1395,,
812284,10.71,1398,,
812295,10.721,1396,,
812306,10.732,1389,,
812314,10.74,1392,,
812325,10.751,1401,,
812336,10.762,1403,,
812344,10.77,1411,,
812355,10.781,1411,,
812366,10.792,1414,,
812374,10.8,1415,,
812385,10.811,1412,,
812396,10.822,1411,,
812404,10.83,1415,,
812415,10.841,1421,,
812426,10.852,1428,,
812434,10.86,1423,,
812445,10.871,1418,,
812456,10.882,1428,,
812464,10.89,1429,,
812475,10.901,1431,,
812486,10.912,1439,,
812494,10.92,1444,,
812505,10.931,1443,,
812516,10.942,1440,,
812524,10.95,1435,,
812535,10.961,1443,,
812546,10.972,1453,,
812554,10.98,1455,,
812565,10.991,1457,,
812576,11.002,1459,,
812584,11.01,1463,,
812595,11.021,1465,,
812606,11.032,1458,,
812614,11.04,1466,,
812624,11.05,1472,,
812635,11.061,1467,,
812646,11.072,1476,,
812654,11.08,1469,,
812665,11.091,1466,,
812676,11.102,1474,,
